bank_name,deposit_type,interest_rate,from_date
Multipurpose Finance,Savings Rate,6.50%,2024-01-01
Multipurpose Finance,Fixed Rate,8.75%,2024-01-01
Samriddhi Finance Co.,Savings Rate,6.35%,2024-01-01
Samriddhi Finance Co.,Fixed Rate,9.25%,2024-01-01
Guheshwori Finance,Savings Rate,6.25%,2024-01-01
Guheshwori Finance,Fixed Rate,8.50%,2024-01-01
ICFC Finance Ltd,Savings Rate,5.00%,2024-01-01
ICFC Finance Ltd,Fixed Rate,7.80%,2024-01-01
Manjushree Finance,Savings Rate,6.00%,2024-01-01
Manjushree Finance,Fixed Rate,8.60%,2024-01-01
Reliance Finance Ltd.,Savings Rate,6.75%,2024-01-01
Reliance Finance Ltd.,Fixed Rate,9.25%,2024-01-01
Salapa Bikas Bank,Savings Rate,4.73%,2024-01-01
Salapa Bikas Bank,Fixed Rate,8.50%,2024-01-01
